start_vertex,length,mono_count,mono_ms,naive_count,naive_ms,naive_f1_ms,naive_f2_ms,naive_join_ms,naive_boundary_rows,naive_frag2_rows,split_count,split_ms,split_f1_ms,split_join_ms,split_f2_ms,split_boundary_rows,mono_vs_naive_match,mono_vs_split_match
383,2,719,10.119140148162842,719,17.91001856327057,5.566522479057312,10.36272943019867,1.9807666540145874,215,6495,719,12.621194124221802,4.344627261161804,1.608043909072876,6.668522953987122,215,True,True
383,3,8440,28.031185269355774,8440,43.02187263965607,9.6701979637146,28.661072254180908,4.690602421760559,7129,22398,8440,29.703453183174133,8.866533637046814,2.2951066493988037,18.541812896728516,7129,True,True
383,4,125267,189.04875218868256,125267,130.66184520721436,31.611457467079163,58.46121907234192,40.589168667793274,116362,47736,125267,99.14731979370117,31.537041068077087,7.768303155899048,59.84197556972504,116362,True,True
383,5,1201453,2392.6213532686234,1201453,448.21561872959137,235.21465063095093,92.48855710029602,120.51241099834442,1274201,78096,1201453,552.7425110340118,240.33282697200775,14.664813876152039,297.74487018585205,1274201,True,True
383,6,9241189,22572.240740060806,9241189,3267.43546128273,2878.122866153717,126.01414322853088,263.2984519004822,13416055,107540,9241189,4903.187021613121,2931.950956583023,44.13531720638275,1927.1007478237152,13416055,True,True
594,2,111,8.859232068061829,111,17.169028520584106,5.281969904899597,9.81178879737854,2.0752698183059692,78,6495,111,11.615604162216187,5.33042848110199,0.7775723934173584,5.507603287696838,78,True,True
594,3,2299,11.780843138694763,2299,37.97723352909088,8.37850570678711,27.000054717063904,2.598673105239868,1082,22398,2299,17.269030213356018,7.20234215259552,0.9847134351730347,9.081974625587463,1082,True,True
594,4,10258,31.32505714893341,10258,78.47154140472412,12.403115630149841,54.40165102481842,11.66677474975586,13998,47736,10258,40.979206562042236,13.603463768959045,2.4329572916030884,24.942785501480103,13998,True,True
594,5,66487,170.61631381511688,66487,175.04562437534332,46.18541896343231,94.99877691268921,33.8614284992218,111765,78096,66487,106.32787644863129,41.08397662639618,7.458299398422241,57.785600423812866,111765,True,True
594,6,611084,1199.8925358057022,611084,425.56484043598175,228.82311046123505,131.77187740802765,64.96985256671906,966554,107540,611084,438.1541311740875,226.3893336057663,13.077571988105774,198.68722558021545,966554,True,True
592,2,179,9.33849811553955,179,16.452401876449585,4.84757125377655,9.279623627662659,2.325206995010376,56,6495,179,10.538533329963684,4.389017820358276,0.7849633693695068,5.364552140235901,56,True,True
592,3,4759,20.114734768867493,4759,38.19820284843445,8.054643869400024,26.447832584381104,3.6957263946533203,2297,22398,4759,21.439403295516968,7.838189601898193,1.1998265981674194,12.401387095451355,2297,True,True
592,4,61258,99.98887777328491,61258,97.45599329471588,19.755035638809204,56.61378800868988,21.087169647216797,44237,47736,61258,97.81597554683685,19.40128207206726,7.486119866371155,70.92857360839844,44237,True,True
592,5,436563,882.676512002945,436563,293.8671410083771,143.2085484266281,96.33201360702515,54.326578974723816,652920,78096,436563,287.0802581310272,141.78107678890228,15.413239598274231,129.8859417438507,652920,True,True
592,6,4825969,6868.165984749794,4825969,1459.7240537405014,1097.2554087638855,129.26647067070007,233.20217430591583,5986344,107540,4825969,2128.8378089666367,1118.2398945093155,24.444550275802612,986.1533641815186,5986344,True,True
635,2,122,7.265657186508179,122,17.235785722732544,4.691183567047119,10.857567191123962,1.6870349645614624,26,6495,122,11.165618896484375,4.840165376663208,0.9295046329498291,5.395948886871338,26,True,True
635,3,1640,12.563377618789673,1640,36.39194369316101,6.5614283084869385,27.23194658756256,2.5985687971115112,1153,22398,1640,17.098844051361084,6.625473499298096,0.958174467086792,9.515196084976196,1153,True,True
635,4,25902,47.560498118400574,25902,79.2996734380722,13.426274061203003,54.35045063495636,11.522948741912842,21390,47736,25902,53.58166992664337,13.646915555000305,4.198625683784485,35.73612868785858,21390,True,True
635,5,112334,326.2113630771637,112334,179.22985553741455,58.39075148105621,90.95434844493866,29.884755611419678,219972,78096,112334,130.07816672325134,56.93165957927704,8.286982774734497,64.85952436923981,219972,True,True
635,6,1625048,2551.6975969076157,1625048,707.5011879205704,452.2258937358856,128.15949320793152,127.11580097675323,2192386,107540,1625048,741.5020167827606,409.35520827770233,14.977619051933289,317.169189453125,2192386,True,True
