length,result,reference_result,match,runtime_ms,intermediate_paths,error
2,24990,24990,True,55308.67376923561,24990,
3,170230,170230,True,90708.04192125797,317590,
4,501419,501419,True,261065.53500890732,2383011,
5,1162976,1162976,True,552027.0208120346,20605037,
