length,result,reference_result,runtime_ms,intermediate_paths,peak_rss_mb,error
2,1703,1703,20.25604248046875,22321,1697.15712,
3,3465,3465,208.9713215827942,803755,2108.362752,
4,53857,53857,1105.6231409311295,3077116,2262.069248,
5,227513,227513,3048.5299229621887,10056711,3221.057536,
6,1197826,1197826,9524.934619665146,15785862,3720.290304,
7,1439218,1439218,6274.490192532539,16779741,3939.008512,
8,1446555,1446555,6964.031472802162,16803299,3910.012928,
