length,result,reference_result,runtime_ms,intermediate_paths,peak_rss_mb,error
2,24990,24990,18.308624625205994,24990,1876.856832,
3,170230,170230,61.269715428352356,170230,1921.16736,
4,501419,501419,156.192809343338,501419,1970.720768,
5,1162976,1162976,295.45485973358154,1162976,2054.438912,
6,2085260,2085260,492.52647161483765,2085260,2090.221568,
7,3350001,3350001,693.0729299783707,3350001,2043.424768,
8,4794460,4794460,938.8481378555298,4794460,2225.082368,
