length,result,reference_result,match,runtime_ms,error
2,1703,1703,True,25.77216923236847,
3,3465,3465,True,98.06132316589355,
4,53857,53857,True,4636.878967285156,
5,227513,227513,True,49827.949687838554,
6,1197826,1197826,True,384545.6671118736,
7,1439218,1439218,True,1870044.6894615889,
8,1446555,1446555,True,4973949.26032424,
