length,result,reference_result,match,runtime_ms,error
2,8318,8318,True,15.311196446418762,
3,30008,30008,True,88.9352560043335,
4,72809,72809,True,523.1239348649979,
5,140169,140169,True,2476.1351197957993,
6,243311,243311,True,10007.0121884346,
7,264990,264990,True,31562.662586569786,
8,269683,269683,True,79137.56386935711,
