length,result,reference_result,match,runtime_ms,error
2,8318,8318,True,18.244951963424683,
3,30008,30008,True,86.3664299249649,
4,72809,72809,True,452.0041197538376,
5,140169,140169,True,1994.0615594387054,
6,243311,243311,True,7724.435746669769,
7,264990,264990,True,22761.439740657806,
8,269683,269683,True,53733.93625020981,
