engine,query,start,len,success,result,median_ms,avg_ms,min_ms,max_ms,intermediate_paths,peak_memory_mb,error
kuzu,q4,24189256063073,2,1,422,1736.8680387735367,1736.8680387735367,1736.8680387735367,1736.8680387735367,1783,6255.3088,
kuzu,q4,24189256063073,3,1,4621,2355.7006865739822,2355.7006865739822,2355.7006865739822,2355.7006865739822,107611,6403.080192,
kuzu,q4,24189256063073,4,1,38444,30136.905029416084,30136.905029416084,30136.905029416084,30136.905029416084,5637415,11575.267328,
kuzu,q4,24189256063073,5,1,279035,1636342.1264886856,1636342.1264886856,1636342.1264886856,1636342.1264886856,277974425,322384.891904,
kuzu,q4,24189256063073,6,0,,,,,,,,Buffer manager exception: Unable to allocate memory! The buffer pool is full and no memory could be freed!
