engine,query,start,len,success,result,median_ms,avg_ms,min_ms,max_ms,intermediate_paths,peak_memory_mb,error
kuzu,q3,31470,2,1,17,71.29259407520294,71.29259407520294,71.29259407520294,71.29259407520294,544,1671.991296,
kuzu,q3,31470,3,1,20,392.9663747549057,392.9663747549057,392.9663747549057,392.9663747549057,39509,1725.231104,
kuzu,q3,31470,4,1,36,104417.27638244629,104417.27638244629,104417.27638244629,104417.27638244629,10889679,11566.759936,
kuzu,q3,31470,5,0,,,,,,,,Buffer manager exception: Unable to allocate memory! The buffer pool is full and no memory could be freed!
