length,result,reference_result,runtime_ms,peak_rss_mb,error
2,184,184,11.428609490394592,962.199552,
3,327,327,13.097614049911499,932.724736,
4,338,338,17.755985260009766,997.126144,
5,340,340,18.802016973495483,984.219648,
6,340,340,20.628616213798523,975.409152,
7,340,340,26.36656165122986,924.397568,
8,340,340,25.076255202293396,956.162048,
