length,result,reference_result,runtime_ms,peak_rss_mb,error
2,950,950,10.203912854194641,867.6352,
3,2620,2620,13.645529747009277,967.20896,
4,4625,4625,21.00202441215515,982.102016,
5,6346,6346,27.233198285102844,964.759552,
6,6489,6489,31.109049916267395,999.907328,
7,6489,6489,29.231712222099304,948.047872,
8,6489,6489,29.263973236083984,959.410176,
