length,result,reference_result,match,runtime_ms,error
2,184,184,True,5.510881543159485,
3,327,327,True,7.4290931224823,
4,338,338,True,18.54899525642395,
5,340,340,True,50.21651089191437,
6,340,340,True,381.77424669265747,
7,340,340,True,1359.786033630371,
8,340,340,True,5791.416808962822,
