length,result,reference_result,runtime_ms,peak_rss_mb,error
2,2899,2899,9.12049412727356,944.398336,
3,17533,17533,21.51411771774292,980.819968,
4,45014,45014,40.340036153793335,1101.524992,
5,104274,104274,69.51169669628143,1110.888448,
6,194680,194680,114.3713891506195,1332.55168,
7,319724,319724,167.52569377422333,1241.628672,
8,533278,533278,283.60600769519806,1381.117952,
