length,result,reference_result,match,runtime_ms,error
2,2899,2899,True,7.448375225067139,
3,17533,17533,True,90.83293378353119,
4,45014,45014,True,682.4021935462952,
5,104274,104274,True,6427.883639931679,
6,194680,194680,True,60006.94741308689,
7,319724,319724,True,649213.6140167713,
8,533278,533278,True,6842622.118443251,
