engine,length,result,median_ms,peak_memory_mb
duckdb-baseline,2,23,27.87846326828003,235.470848
duckdb-baseline,3,95,825.3464102745056,1224.851456
duckdb-baseline,4,264,43011.573150753975,14398.58688
recap-inline,2,23,17.474576830863953,222.068736
recap-inline,3,95,24.794310331344604,227.96288
recap-inline,4,264,34.64317321777344,242.54464
recap-udf,2,23,260.5925351381302,211.57888
recap-udf,3,95,1002.452477812767,204.193792
recap-udf,4,264,2433.132514357567,220.114944
