engine,length,result,runtime_ms,intermediate_count_ms,peak_buffer_memory_mb,peak_rss_mb
recap-new-standard,2,23,46.686798334121704,44.23642158508301,28.284928,488.12032
recap-new-optimized,2,23,23.745790123939514,20.909234881401062,26.241024,471.90016
recap-new-standard,3,95,71.39736413955688,67.95866787433624,30.519776,528.478208
recap-new-optimized,3,95,34.52487289905548,32.54437446594238,28.371424,463.028224
recap-new-standard,4,264,99.98053312301636,103.5107672214508,32.972176,526.80704
recap-new-optimized,4,264,57.998135685920715,54.576486349105835,30.875024,508.166144
recap-new-standard,5,466,140.06046950817108,143.08688044548035,34.022688,554.151936
recap-new-optimized,5,466,76.7340362071991,78.28961312770844,39.863584,516.66944
recap-new-standard,6,711,189.4034892320633,189.1828030347824,43.021176,606.982144
recap-new-optimized,6,711,108.60800743103027,102.6410460472107,40.903544,588.439552
recap-new-standard,7,745,233.3858609199524,222.41273522377014,42.972024,665.296896
recap-new-optimized,7,745,124.31970238685608,125.73875486850739,40.833912,530.67776
recap-new-standard,8,840,251.43997371196747,287.31007874011993,42.969976,621.817856
recap-new-optimized,8,840,146.65737748146057,142.29850471019745,40.911736,632.03328
recap-new-standard,9,852,272.2817063331604,283.59296917915344,42.984312,638.406656
recap-new-optimized,9,852,158.4991067647934,159.65375304222107,40.838008,561.475584
recap-new-standard,10,878,336.21227741241455,322.04219698905945,42.959736,660.176896
recap-new-optimized,10,878,164.85200822353363,155.84063529968262,40.786808,533.639168
