start_vertex,length,mono_count,mono_ms,split_count,split_ms,split_f1_ms,split_join_ms,split_f2_ms,split_boundary_rows,naive_count,naive_ms,naive_f1_ms,naive_f2_ms,naive_join_ms,naive_boundary_rows,naive_frag2_rows,mono_vs_split_match,mono_vs_naive_match
383,2,453,10.264143347740173,453,14.131829142570496,6.164267659187317,1.2448281049728394,6.722733378410339,196,453,16.923904418945312,5.285635590553284,9.685993194580078,1.9522756338119507,196,6495,True,True
383,3,3729,20.76198160648346,3729,26.054680347442627,7.874593138694763,1.4993250370025635,16.6807621717453,4414,3729,41.95176064968109,7.3091089725494385,28.859540820121765,5.783110857009888,4414,37847,True,True
383,4,17989,85.96496284008026,17989,104.93321716785431,20.571991801261902,7.135078310966492,77.22614705562592,35889,17989,213.85781466960907,20.08591592311859,108.18809270858765,85.58380603790283,35889,186647,True,True
383,5,79373,474.78774189949036,79373,177.41844058036804,92.95590221881866,9.553670883178711,74.90886747837067,189043,79373,992.6764070987701,111.10170185565948,479.30583357810974,402.2688716650009,189043,897382,True,True
383,6,309172,2098.4002351760864,309172,648.7006843090057,455.05450665950775,22.419944405555725,171.22623324394226,962703,309172,5868.641778826714,455.8138698339462,2587.985575199127,2824.84233379364,962703,4306394,True,True
594,2,50,8.950680494308472,50,10.987907648086548,4.256740212440491,0.8087903261184692,5.922377109527588,73,50,17.513245344161987,6.517395377159119,8.857578039169312,2.138271927833557,73,6495,True,True
594,3,372,11.639341711997986,372,16.541898250579834,6.888225674629211,1.071333885192871,8.582338690757751,594,372,39.014413952827454,6.52042031288147,29.738008975982666,2.755984663963318,594,37847,True,True
594,4,1975,21.816104650497437,1975,31.30902349948883,10.650545358657837,1.7584562301635742,18.90002191066742,5481,1975,145.6119269132614,10.433480143547058,120.04394829273224,15.134498476982117,5481,186647,True,True
594,5,4339,64.14976716041565,4339,82.49102532863617,22.486314177513123,5.636394023895264,54.36831712722778,23758,4339,649.7805267572403,21.831586956977844,523.4473049640656,104.5016348361969,23758,897382,True,True
594,6,18119,245.51981687545776,18119,139.22394812107086,67.1367347240448,15.690162777900696,56.397050619125366,110513,18119,3066.2975013256073,64.92350995540619,2583.512857556343,417.86113381385803,110513,4306394,True,True
592,2,92,6.673634052276611,92,9.482309222221375,3.925889730453491,0.8321702480316162,4.724249243736267,48,92,14.746323227882385,3.977254033088684,8.691072463989258,2.0779967308044434,48,6495,True,True
592,3,1216,10.589107871055603,1216,18.972426652908325,7.279381155967712,0.9108632802963257,10.782182216644287,1074,1216,38.670092821121216,5.338951945304871,29.84100580215454,3.490135073661804,1074,37847,True,True
592,4,5362,32.84600377082825,5362,41.97327792644501,10.412812232971191,2.0227283239364624,29.537737369537354,7187,5362,148.5907882452011,12.528747320175171,118.52346360683441,17.53857731819153,7187,186647,True,True
592,5,17180,117.67023801803589,17180,146.55089378356934,34.6112996339798,7.538288831710815,104.40130531787872,46369,17180,596.0375666618347,31.052157282829285,482.6143831014633,82.37102627754211,46369,897382,True,True
592,6,90392,393.2436406612396,90392,220.30647099018097,124.2079883813858,12.133315205574036,83.96516740322113,228426,90392,3183.821141719818,117.62601137161255,2611.0361218452454,455.1590085029602,228426,4306394,True,True
635,2,103,5.450725555419922,103,9.070858359336853,3.810375928878784,0.7330030202865601,4.527479410171509,23,103,13.683751225471497,3.5094916820526123,8.283257484436035,1.8910020589828491,23,6495,True,True
635,3,331,10.334625840187073,331,15.30429720878601,4.809156060218811,0.8569061756134033,9.638234972953796,695,331,40.27374088764191,5.223587155342102,32.06811845302582,2.982035279273987,695,37847,True,True
635,4,4621,27.563631534576416,4621,35.58443486690521,10.228082537651062,2.1019726991653442,23.254379630088806,8697,4621,141.66149497032166,10.462716221809387,113.70167136192322,17.49710738658905,8697,186647,True,True
635,5,17203,121.09874188899994,17203,143.31687986850739,29.98964488506317,8.231550455093384,105.09568452835083,51690,17203,619.9611574411392,31.579434871673584,482.60974884033203,105.7719737291336,51690,897382,True,True
635,6,121031,503.99017333984375,121031,228.4473329782486,131.28086924552917,10.966286063194275,86.20017766952515,255786,121031,3698.0985403060913,125.70393085479736,2768.3847546577454,804.0098547935486,255786,4306394,True,True
