start_vertex,length,mono_count,mono_ms,split_count,split_ms,split_f1_ms,split_join_ms,split_f2_ms,split_boundary_rows,naive_count,naive_ms,naive_f1_ms,naive_f2_ms,naive_join_ms,naive_boundary_rows,naive_frag2_rows,mono_vs_split_match,mono_vs_naive_match
383,2,21,11.224403977394104,21,12.443006038665771,5.356296896934509,0.9527206420898438,6.1339884996414185,17,21,31.094714999198914,4.055440425872803,24.060800671577454,2.9784739017486572,17,72105,True,True
383,3,90,10.00078022480011,90,15.692263841629028,6.80503249168396,0.8235722780227661,8.063659071922302,117,90,835.5272710323334,7.136523723602295,818.2180821895599,10.172665119171143,117,3935294,True,True
383,4,454,17.382219433784485,454,27.325153350830078,11.088013648986816,0.9550601243972778,15.282079577445984,552,454,46209.41366255283,11.586159467697144,46021.04888856411,176.7786145210266,552,210479753,True,True
594,2,10,8.26224684715271,10,10.95515489578247,5.25781512260437,0.9128302335739136,4.784509539604187,9,10,34.484416246414185,4.258349537849426,27.232572436332703,2.9934942722320557,9,72105,True,True
594,3,18,33.640056848526,18,15.24345576763153,5.473852157592773,1.3875365257263184,8.382067084312439,41,18,858.1508696079254,5.937740206718445,846.3767319917679,5.836397409439087,41,3935294,True,True
594,4,80,12.647464871406555,80,19.691988825798035,7.928222417831421,0.7932037115097046,10.97056269645691,189,80,47731.13256692886,9.008079767227173,47599.29005801678,122.83442914485931,189,210479753,True,True
592,2,2,5.6330859661102295,2,12.525826692581177,4.243716597557068,0.7761120796203613,7.505998015403748,2,2,36.93823516368866,4.3886154890060425,29.897987842559814,2.6516318321228027,2,72105,True,True
592,3,0,5.674496293067932,0,11.351093649864197,6.128489971160889,0.8457303047180176,4.3768733739852905,4,0,1157.3002189397812,5.393072962760925,1147.1085995435715,4.7985464334487915,4,3935294,True,True
592,4,0,9.188428521156311,0,11.121124029159546,5.870148539543152,0.9618401527404785,4.2891353368759155,4,0,48078.562900424,5.8193206787109375,48002.60765850544,70.1359212398529,4,210479753,True,True
635,2,0,6.249740719795227,0,10.883495211601257,4.65451180934906,0.9896457195281982,5.239337682723999,3,0,45.3953742980957,4.041105508804321,38.83868455886841,2.5155842304229736,3,72105,True,True
635,3,30,7.9207271337509155,30,39.686426520347595,5.204513669013977,0.8264780044555664,33.65543484687805,30,30,1116.8440729379654,5.905747413635254,1104.853317141533,6.085008382797241,30,3935294,True,True
635,4,96,11.046916246414185,96,17.05150306224823,7.264494895935059,1.0376125574111938,8.749395608901978,138,96,47028.77141535282,7.4501633644104,46918.00054907799,103.32070291042328,138,210479753,True,True
