config,length,result,intermediate_paths,runtime_ms,peak_buffer_memory_mb,peak_rss_mb
1-regex-only,2,1408,15934,16.0110741853714,25.032704,457.44128
2-regex-late-property,2,23,15934,27.455970644950867,27.877376,492.27776
3-regex-early-property,2,23,1199,23.171305656433105,25.802752,434.122752
1-regex-only,3,69500,790814,164.79197144508362,113.792192,684.07296
2-regex-late-property,3,95,790814,273.9012688398361,160.917088,774.643712
3-regex-early-property,3,95,3106,41.50432348251343,27.936768,465.379328
1-regex-only,4,3530274,35384382,6466.685444116592,2681.158912,5310.623744
2-regex-late-property,4,264,35384382,11798.222750425339,5138.973952,8564.932608
3-regex-early-property,4,264,5745,67.58993864059448,30.366408,471.826432
