engine,length,result,median_ms,peak_memory_mb
duckdb-baseline,2,26,10.327443480491638,162.2016
duckdb-baseline,3,1023,33.04851055145264,206.364672
duckdb-baseline,4,29871,409.13207828998566,626.454528
recap-inline,2,26,6.4279139041900635,155.697152
recap-inline,3,1023,9.953141212463379,165.670912
recap-inline,4,29871,56.14137649536133,234.983424
recap-udf,2,26,18.313780426979065,158.728192
recap-udf,3,1023,229.26436364650726,180.801536
recap-udf,4,29871,4592.920139431953,427.95008
