engine,length,result,runtime_ms,intermediate_count_ms,peak_buffer_memory_mb,peak_rss_mb
recap-new-standard,2,494,36.367759108543396,29.510095715522766,5231.433728,13147.11552
recap-new-optimized,2,494,31.720027327537537,30.202731490135193,5206.3744,13294.993408
recap-new-standard,3,3951,77.74698734283447,62.972262501716614,5249.869824,12386.787328
recap-new-optimized,3,3951,70.43319940567017,56.641340255737305,5200.439296,13072.740352
recap-new-standard,4,239316,181.36781454086304,163.2981151342392,5270.883352,12525.113344
recap-new-optimized,4,239316,163.7745201587677,148.26840162277222,5234.076696,13400.18688
recap-new-standard,5,3403054,651.7969071865082,700.6232887506485,6076.552352,11977.330688
recap-new-optimized,5,3403054,603.3848226070404,608.7419241666794,6044.699808,13403.27936
recap-new-standard,6,147378357,24694.661647081375,23438.287392258644,20793.33736,22085.603328
recap-new-optimized,6,147378357,22564.094454050064,20484.462097287178,20797.666832,22021.390336
