engine,length,result,runtime_ms,intermediate_count_ms,peak_buffer_memory_mb,peak_rss_mb
recap-new-standard,2,6435,57.58534371852875,57.12196230888367,8790.153216,19862.552576
recap-new-optimized,2,6435,52.400410175323486,47.306716442108154,8775.05536,19344.388096
recap-new-standard,3,374725,427.07276344299316,443.10978055000305,8842.713088,18046.783488
recap-new-optimized,3,374725,339.16303515434265,349.18513894081116,8827.639808,19532.500992
recap-new-standard,4,18744888,3002.51941382885,2928.45319211483,10735.499056,17874.870272
recap-new-optimized,4,18744888,2517.161637544632,2453.7852704524994,10716.616496,17607.798784
