engine,length,result,median_ms,peak_memory_mb
duckdb-baseline,2,253,8.634552359580994,159.125504
duckdb-baseline,3,2054,22.17280864715576,169.8816
duckdb-baseline,4,10488,286.2432897090912,278.388736
recap-inline,2,253,5.982503294944763,157.843456
recap-inline,3,2054,7.226765155792236,165.728256
recap-inline,4,10488,10.645791888237,175.607808
recap-udf,2,253,15.071555972099304,157.106176
recap-udf,3,2054,64.92677330970764,172.949504
recap-udf,4,10488,366.70275032520294,193.970176
