engine,query,start,len,success,result,median_ms,avg_ms,min_ms,max_ms,intermediate_paths,peak_memory_mb,error
neo4j,q3,9,2,1,253,291.80464148521423,297.80182739098865,291.7589843273163,309.8418563604355,561,14912.540672,
neo4j,q3,9,3,1,2054,319.9463486671448,320.42455673217773,319.2767798900604,322.050541639328,11928,14912.540672,
neo4j,q3,9,4,1,10488,879.0171593427658,888.7351552645365,857.7319532632828,929.456353187561,241424,14912.75776,
