length,result,reference_result,match,runtime_ms,error
2,549,549,True,452.53361761569977,
3,1493,1493,True,563.6131465435028,
4,3677,3677,True,818.9487755298615,
5,5035,5035,True,1500.234767794609,
6,7532,7532,True,4286.802917718887,
7,9197,9197,True,28661.425217986107,
8,10183,10183,True,150259.77118313313,
