length,result,reference_result,match,runtime_ms,error
2,30,30,True,55.13295531272888,
3,65,65,True,15.089601278305054,
4,137,137,True,16.882851719856262,
5,873,873,True,36.71593964099884,
6,1107,1107,True,69.71947848796844,
7,1107,1107,True,88.68147432804108,
8,1107,1107,True,129.92048263549805,
