length,result,reference_result,match,runtime_ms,error
2,775,775,True,570.843368768692,
3,6497,6497,True,920.556366443634,
4,20027,20027,True,1948.8128274679184,
5,46311,46311,True,4373.346656560898,
6,84847,84847,True,9872.669532895088,
7,138900,138900,True,31455.32602071762,
8,200855,200855,True,203172.2326874733,
