length,result,reference_result,match,runtime_ms,error
2,30,30,True,11.023372411727905,
3,65,65,True,5.439311265945435,
4,137,137,True,10.406583547592163,
5,873,873,True,32.72101283073425,
6,1107,1107,True,86.04656159877777,
7,1107,1107,True,216.54251217842102,
8,1107,1107,True,503.6173164844513,
