length,result,reference_result,match,runtime_ms,error
2,549,549,True,3.3884644508361816,
3,1493,1493,True,4.855349659919739,
4,3677,3677,True,27.326375246047974,
5,5035,5035,True,65.14248251914978,
6,7532,7532,True,518.7394022941589,
7,9197,9197,True,1979.8900783061981,
8,10183,10183,True,7218.987852334976,
