length,result,reference_result,runtime_ms,peak_rss_mb
2,775,775,9.626016020774841,557.174784
3,6497,6497,16.051113605499268,579.97312
4,20027,20027,23.8092839717865,593.32608
5,46311,46311,48.48100244998932,726.511616
6,84847,84847,80.88965713977814,925.396992
7,138900,138900,133.68447124958038,981.962752
8,200855,200855,186.06026470661163,1097.211904
