length,result,reference_result,match,runtime_ms,error
2,549,549,True,80.23425936698914,
3,1493,1493,True,79.47742938995361,
4,3677,3677,True,90.55536985397339,
5,5035,5035,True,125.86379051208496,
6,7532,7532,True,447.60236144065857,
7,9197,9197,True,1537.2015982866287,
8,10183,10183,True,4991.457417607307,
