length,result,reference_result,runtime_ms,peak_rss_mb
2,549,549,10.639041662216187,546.738176
3,1493,1493,11.272892355918884,566.841344
4,3677,3677,17.29188859462738,568.184832
5,5035,5035,17.40369200706482,562.25792
6,7532,7532,27.950182557106018,633.065472
7,9197,9197,24.556785821914673,588.787712
8,10183,10183,27.6716947555542,590.245888
