length,result,reference_result,runtime_ms,peak_rss_mb
2,30,30,9.732723236083984,541.61408
3,65,65,11.997804045677185,537.595904
4,137,137,15.667349100112915,596.885504
5,873,873,21.323740482330322,614.416384
6,1107,1107,24.37451481819153,616.894464
7,1107,1107,27.12671458721161,611.672064
8,1107,1107,26.006296277046204,619.462656
