length,result,reference_result,match,runtime_ms,error
2,30,30,True,202.97354459762573,
3,65,65,True,116.6326254606247,
4,137,137,True,135.59222221374512,
5,873,873,True,183.63068997859955,
6,1107,1107,True,241.26465618610382,
7,1107,1107,True,420.62415182590485,
8,1107,1107,True,824.4177848100662,
