length,result,reference_result,match,runtime_ms,intermediate_count_ms,peak_buffer_memory_mb,peak_rss_mb,error
2,2,2,True,13.844907283782959,19.861221313476562,5207.240704,12693.700608,
3,4,4,True,21.63924276828766,21.332889795303345,5188.12672,12450.381824,
4,7,7,True,26.862263679504395,24.891823530197144,5198.102528,13253.3248,
5,10,10,True,37.14907169342041,30.335605144500732,5192.333312,13230.915584,
6,13,13,True,44.91989314556122,32.45490789413452,5183.033344,12732.112896,
7,13,13,True,46.36983573436737,43.96259784698486,5189.505024,13776.891904,
