engine,length,result,median_ms,peak_memory_mb
duckdb-baseline,2,202,8.428692817687988,158.846976
duckdb-baseline,3,1360,19.10179853439331,176.267264
duckdb-baseline,4,7517,220.6772118806839,259.088384
recap-inline,2,202,6.667867302894592,158.027776
recap-inline,3,1360,8.007943630218506,165.298176
recap-inline,4,7517,12.565284967422485,169.107456
recap-udf,2,202,15.35719633102417,157.851648
recap-udf,3,1360,56.822165846824646,171.245568
recap-udf,4,7517,286.7155075073242,192.135168
